"","g1.civil_composite","g4.composite","g6.composite","h2.composite","outcome.composite","outcome.composite2"
"1",0,0,3.93,NA,1.06,1.39
"2",0,0,1.43,NA,0.39,0.5
"3",1.09,0,2.74,8.66666666666667,3.37,3.31
"4",0,0,0,NA,0,0
"5",0.91,0,1.67,NA,0.7,0.91
"6",2,1,NA,6.33333333333333,2.52,3.3
"7",1.45,0,1.9,NA,0.9,1.18
"8",0,0,1.19,NA,0.32,0.42
"9",3.09,0,3.36,4.66666666666667,3,2.94
"10",2.36,0,0,2.33333333333333,1.26,1.24
"11",NA,NA,NA,NA,NA,NA
"12",1.64,0,3.63,NA,1.42,1.86
"13",3.45,3,2.83,NA,2.5,3.28
"14",3.82,6,5.7,NA,4.18,5.48
"15",0.73,0,3.46,NA,1.13,1.48
"16",2.91,8,3.56,NA,3.9,5.11
"17",2.18,0,NA,NA,0.59,1.15
"18",3.64,2,4.58,NA,2.75,3.61
"19",2.36,7,4.18,6.33333333333333,5.36,5.26
"20",1.09,1,0.88,NA,0.8,1.05
"21",3.27,5,9.64,NA,4.83,6.32
"22",0,0,3.95,NA,1.06,1.39
"23",3.45,7,6.72,5,5.97,5.87
"24",0.36,NA,NA,NA,0.1,0.38
"25",0,0,0.48,NA,0.13,0.17
"26",0,0,0,NA,0,0
"27",1.09,0,0,4.33333333333333,1.46,1.44
"28",0.55,0,0,NA,0.15,0.19
"29",5.82,10,8.43,6.66666666666667,8.33,8.19
"30",1.82,2,2.83,7,3.68,3.61
"31",1.64,0,0,NA,0.44,0.58
"32",0.91,0,7.18,3,2.99,2.94
"33",0,0,0,NA,0,0
"34",2.36,NA,NA,NA,0.64,2.5
"35",0,0,1.67,NA,0.45,0.59
"36",6.55,8,7.71,NA,6,7.86
"37",2.18,2,4.86,2.66666666666667,3.15,3.1
"38",2.36,5,4.52,6.33333333333333,4.91,4.82
"39",2.36,NA,6.03,NA,2.26,4.44
"40",1.64,2,1.92,3,2.31,2.27
"41",0.55,NA,4.31,NA,1.31,2.57
"42",0.55,8,2.52,NA,2.98,3.91
"43",1.82,2,3.9,3,2.89,2.84
"44",0.91,0,4.72,8,3.67,3.61
"45",0,0,0,NA,0,0
"46",5.64,7,8.27,10,8.33,8.18
"47",0,NA,NA,NA,0,0
"48",3.45,9,6.57,NA,5.13,6.72
"49",0.73,0,2.08,NA,0.76,0.99
"50",0,0,0,NA,0,0
"51",1.09,0,1.02,3.33333333333333,1.47,1.44
"52",0,0,1.43,NA,0.39,0.5
"53",2.36,0,5.06,7,3.89,3.82
"54",2,NA,2.38,NA,1.18,2.32
"55",2,NA,3.4,NA,1.46,2.86
"56",1.27,0,0,NA,0.34,0.45
"57",1.09,1,1.43,NA,0.95,1.24
"58",2.36,2,5.35,NA,2.62,3.43
"59",5.82,2,5.16,7.66666666666667,5.56,5.47
"60",0,NA,8.06,NA,2.17,4.27
"61",0.36,0,3.88,NA,1.14,1.5
"62",3.64,5,4.77,6.66666666666667,5.41,5.32
"63",3.64,2,6.03,7,5.03,4.94
"64",0.18,1,4.77,NA,1.6,2.1
"65",0.36,0,2.4,NA,0.74,0.97
"66",2.73,1,1.58,5.66666666666667,2.96,2.91
"67",0,NA,2.14,NA,0.58,1.13
"68",5.82,4,4.5,4,4.94,4.85
"69",2.18,NA,1.67,NA,1.04,2.04
"70",2.36,0,1.02,NA,0.91,1.19
"71",NA,NA,1.47,NA,0.4,1.56
"72",2.91,4,4.96,NA,3.2,4.19
"73",0.73,0,2.16,10,3.47,3.41
"74",2.73,1,2.04,NA,1.55,2.04
"75",3.45,1,4.75,6.66666666666667,4.28,4.2
"76",0,NA,NA,NA,0,0
"77",0.36,0,0,NA,0.1,0.13
"78",0,0,3.9,NA,1.05,1.38
"79",0,2,0,NA,0.54,0.71
"80",0,0,5.07,NA,1.37,1.79
"81",0.91,0,0,1.66666666666667,0.69,0.68
"82",0.73,0,2.58,NA,0.89,1.17
"83",0.18,NA,2.14,NA,0.63,1.23
"84",0,NA,NA,NA,0,0
"85",0,NA,2.38,NA,0.64,1.26
"86",2.36,3,2.02,2.33333333333333,2.62,2.57
"87",2.36,0,2.54,6,2.94,2.89
"88",0,NA,2.14,NA,0.58,1.13
"89",0,NA,4.93,NA,1.33,2.61
"90",4,5,7.57,5.66666666666667,5.99,5.89
"91",2.73,4,3.56,NA,2.77,3.63
"92",0,0,1.19,NA,0.32,0.42
"93",3.45,2,3.28,3,3.16,3.11
"94",2.18,0,0.95,6,2.46,2.42
"95",1.27,0,1.36,7,2.6,2.55
"96",0,0,1.9,NA,0.51,0.67
"97",5.45,2,3.64,4,4.07,4
"98",4.55,NA,3.43,5.33333333333333,3.59,4.7
"99",0.18,NA,1.67,NA,0.5,0.98
"100",5.82,6,6.02,7.33333333333333,6.78,6.67
"101",1.45,0,2.77,NA,1.14,1.49
"102",3.27,0,5.46,8,4.51,4.43
"103",1.64,0,0.19,NA,0.49,0.65
"104",0.36,2,4.36,NA,1.81,2.37
"105",3.09,2,4.38,3.66666666666667,3.54,3.48
"106",NA,0,1.68,NA,0.45,0.89
"107",3.82,0,5.78,5.33333333333333,4.02,3.95
"108",0,0,2.7,NA,0.73,0.95
"109",NA,3,5.23,5.66666666666667,3.75,4.91
"110",NA,1,4.16,NA,1.39,2.73
"111",2.36,2,3.35,NA,2.08,2.72
"112",7.64,8,6.03,7.33333333333333,7.82,7.68
"113",1.09,0,0.85,NA,0.52,0.68
"114",5.09,1,8.52,7,5.82,5.72
"115",3.27,0,3.31,8.66666666666667,4.11,4.04
"116",0.36,0,3.2,NA,0.96,1.26
"117",1.45,0,3.74,NA,1.4,1.83
"118",NA,NA,7.16,NA,1.93,7.58
"119",NA,NA,1.49,NA,0.4,1.58
"120",9.45,NA,5.72,7,5.97,7.83
"121",2,0,4.04,1.66666666666667,2.08,2.04
"122",3.64,3,3.01,4,3.68,3.61
"123",0.18,0,6.41,NA,1.78,2.33
"124",0,0,0,NA,0,0
"125",0,0,2.38,NA,0.64,0.84
"126",NA,5,2.38,NA,1.99,3.91
"127",1.27,5,5.56,NA,3.19,4.18
"128",4,4,7.33,5.33333333333333,5.57,5.47
"129",0.91,0,0,0,0.25,0.24
"130",0,2,1.19,NA,0.86,1.13
"131",5.09,NA,6.48,NA,3.12,6.13
"132",0,0,1.43,NA,0.39,0.5
"133",1.27,2,6.18,NA,2.55,3.34
"134",0,0,1.9,NA,0.51,0.67
"135",0,0,0.71,NA,0.19,0.25
"136",3.64,NA,2.48,NA,1.65,3.24
"137",1.45,0,2.73,NA,1.13,1.48
"138",1.09,1,1.42,NA,0.95,1.24
"139",4.73,6,4.93,7.66666666666667,6.29,6.18
"140",2.36,0,1.64,NA,1.08,1.41
"141",0,0,2.38,NA,0.64,0.84
"142",3.45,1,6.39,NA,2.92,3.83
"143",0.36,1,1.24,NA,0.7,0.92
"144",2.36,1,6.96,NA,2.78,3.64
"145",4.73,5,5.31,NA,4.05,5.31
"146",4.18,0,8.55,6.66666666666667,5.23,5.14
"147",3.64,NA,2.38,NA,1.62,3.19
"148",3.45,3,4.96,4,4.15,4.08
"149",0,0,0,NA,0,0
"150",0.55,3,2.21,NA,1.55,2.03
"151",3.27,4,3.03,3.66666666666667,3.76,3.7
"152",0.36,0,2.04,NA,0.65,0.85
"153",0.18,0,0.34,NA,0.14,0.18
"154",3.27,0,1.99,NA,1.42,1.86
"155",2.18,6,3.85,NA,3.24,4.25
"156",1.45,0,1.9,NA,0.9,1.18
"157",0,0,0.24,NA,0.06,0.08
"158",0.73,0,5.17,NA,1.59,2.08
"159",0,0,0,NA,0,0
"160",5.82,6,7.22,6.33333333333333,6.84,6.72
"161",0,NA,1.67,NA,0.45,0.88
"162",1.27,2,1.53,NA,1.29,1.69
"163",4.91,NA,4.1,3,3.24,4.24
"164",2.18,2,2.82,6,3.5,3.44
"165",0,0,0,NA,0,0
"166",8.18,2,6.27,4,5.51,5.42
"167",0,0,0,NA,0,0
"168",0.18,0,1.19,NA,0.37,0.48
"169",1.09,0,2.98,NA,1.1,1.44
"170",3.64,10,4.38,5.66666666666667,6.38,6.27
"171",2,1,5.2,NA,2.21,2.9
"172",2.55,0,5.11,6,3.68,3.62
"173",1.82,0,2.86,NA,1.26,1.65
"174",2.91,5,5.84,NA,3.71,4.85
"175",3.27,5,1.02,4.66666666666667,3.76,3.7
"176",2.18,0,1,NA,0.86,1.12
"177",1.27,2,5.02,NA,2.23,2.93
"178",2.73,0,2.89,NA,1.51,1.98
"179",4.18,0,4.39,NA,2.31,3.03
"180",1.45,0,1.73,6.33333333333333,2.56,2.52
"181",0.91,1,1.46,NA,0.91,1.19
"182",7.27,2,8.52,6.33333333333333,6.5,6.39
"183",0,0,0,NA,0,0
"184",1.64,NA,3.1,NA,1.28,2.51
"185",0.18,0,0,NA,0.05,0.06
"186",0.36,0,0,NA,0.1,0.13
"187",7.27,10,5.21,10,8.75,8.6
"188",4.91,0,0,7.33333333333333,3.3,3.24
"189",0.73,NA,1.55,NA,0.61,1.21
"190",0.36,0,0,NA,0.1,0.13
"191",3.82,0,3.98,5.66666666666667,3.63,3.57
"192",2,2,6.66,NA,2.87,3.76
"193",3.64,1,6.2,6.66666666666667,4.72,4.64
"194",3.64,2,4.54,5.66666666666667,4.27,4.2
"195",4.55,NA,4.88,NA,2.54,4.99
"196",0.91,0,2.33,1.66666666666667,1.32,1.3
"197",2,2,4.28,NA,2.23,2.92
"198",2.36,NA,5.37,NA,2.08,4.09
"199",1.09,0,1.3,NA,0.64,0.84
"200",3.27,5,1.79,NA,2.71,3.55
"201",0,0,0,NA,0,0
"202",6.55,2,2.97,5.66666666666667,4.63,4.55
"203",1.27,0,2.74,NA,1.08,1.42
"204",0,0,1.67,NA,0.45,0.59
"205",0,NA,NA,NA,0,0
"206",0,0,0.93,NA,0.25,0.33
"207",1.27,NA,1.19,NA,0.66,1.3
"208",3.27,0,3.87,8.66666666666667,4.26,4.19
"209",5.82,7,6.38,7,7.06,6.94
"210",3.82,2,1.43,NA,1.95,2.56
"211",0,0,0,NA,0,0
"212",1.82,NA,4.34,0,1.66,2.17
"213",3.45,0,2.87,3,2.51,2.47
"214",6.18,6,8.48,6.33333333333333,7.27,7.15
"215",6.91,9,8.75,8.66666666666667,8.98,8.82
"216",2.73,2,2.2,6.66666666666667,3.66,3.6
"217",0.18,NA,NA,NA,0.05,0.19
"218",0,0,6.04,NA,1.63,2.13
"219",1.09,0,1,NA,0.56,0.74
"220",0.18,3,0,NA,0.86,1.12
"221",0,0,1.9,NA,0.51,0.67
"222",0,0,0,NA,0,0
"223",NA,2,6.6,5,3.67,4.8
"224",1.09,0,1.9,NA,0.81,1.06
"225",0.73,0,2.38,NA,0.84,1.1
"226",2.36,2,3.33,8.33333333333333,4.32,4.24
"227",2.18,3,2.82,NA,2.16,2.82
"228",0.36,0,2.49,NA,0.77,1.01
"229",NA,3,5.8,4.33333333333333,3.54,4.64
"230",5.64,0,2.38,6.66666666666667,3.96,3.89
"231",3.82,NA,4.28,NA,2.18,4.29
"232",4.18,2,6.09,NA,3.31,4.33
"233",1.27,NA,0,NA,0.34,0.67
"234",0.36,0,2.65,NA,0.81,1.06
"235",NA,NA,NA,NA,NA,NA
"236",1.09,2,1.56,6,2.87,2.82
"237",NA,10,8.99,9.33333333333333,7.63,10
"238",4.18,8,8.42,8,7.71,7.57
"239",0,0,2.48,NA,0.67,0.88
"240",4.18,3,8.6,8.66666666666667,6.59,6.47
"241",0.73,3,0,NA,1.01,1.32
"242",3.82,6,7.21,7,6.48,6.36
"243",0.73,0,1.63,NA,0.64,0.83
"244",2.18,2,0.33,NA,1.22,1.59
"245",2.73,0,3.91,6,3.41,3.35
"246",1.45,6,1.45,NA,2.4,3.14
"247",0.91,0,2.52,NA,0.92,1.21
"248",NA,0,7.25,NA,1.95,3.84
"249",6.36,10,10,NA,7.1,9.31
"250",0.18,NA,1.93,NA,0.57,1.12
"251",3.64,0,8.17,NA,3.18,4.17
"252",2.55,3,2.42,3.33333333333333,3.05,2.99
"253",7.82,8,8.78,NA,6.63,8.69
"254",4,8,3.53,10,6.88,6.76
"255",5.45,8,7.46,NA,5.64,7.38
"256",4.36,2,6.09,6.66666666666667,5.15,5.06
"257",7.09,7,8.54,10,8.79,8.64
"258",1.82,NA,NA,NA,0.49,1.93
"259",3.27,NA,2.14,NA,1.46,2.87
"260",0.91,0,5.82,NA,1.81,2.38
"261",4.18,2,6.64,NA,3.45,4.53
"262",3.09,2,2.11,NA,1.94,2.54
"263",4.73,8,3.25,8,6.46,6.35
"264",2.55,2,3.91,3.33333333333333,3.18,3.12
"265",NA,NA,NA,NA,NA,NA
"266",0.18,0,0.48,NA,0.18,0.23
"267",5.45,7,8.88,3.33333333333333,6.65,6.53
"268",1.27,0,3.11,NA,1.18,1.55
"269",1.27,0,3.54,NA,1.3,1.7
"270",0,0,0,NA,0,0
"271",1.09,1,NA,NA,0.56,1.11
"272",0.55,NA,4.08,NA,1.25,2.45
"273",0,NA,1.67,NA,0.45,0.88
"274",0.91,0,3.11,NA,1.08,1.42
"275",0,5,3.93,NA,2.41,3.15
"276",0,0,0,NA,0,0
"277",0,0,0,NA,0,0
"278",10,0,9.64,10,7.99,7.85
"279",1.82,1,2.14,3.66666666666667,2.32,2.28
"280",0,0,2.38,NA,0.64,0.84
"281",0,0,1.93,NA,0.52,0.68
"282",2.18,0,3.21,NA,1.45,1.9
"283",1.82,0,1.67,NA,0.94,1.23
"284",NA,3,3.65,6,3.41,4.47
"285",6.91,0,7.43,10,6.56,6.45
"286",1.09,0,4.22,NA,1.43,1.87
"287",0.91,NA,1.9,NA,0.76,1.49
"288",8.36,7,6.82,9.66666666666667,8.58,8.43
"289",0.36,0,6.82,NA,1.93,2.54
"290",1.82,NA,NA,NA,0.49,1.93
"291",0,0,3.82,NA,1.03,1.35
"292",NA,NA,8.2,NA,2.21,8.69
"293",3.64,3,5.11,NA,3.17,4.15
"294",0.36,NA,3.71,NA,1.1,2.16
"295",0,NA,5.01,NA,1.35,2.65
"296",4,NA,4.08,NA,2.18,4.28
"297",5.64,5,4.39,8.66666666666667,6.39,6.27
"298",0,NA,4.08,NA,1.1,2.16
"299",2,0,0,0.666666666666667,0.72,0.71
"300",3.82,7,9.03,10,8.04,7.9
"301",0.91,0,2.69,7,2.86,2.81
"302",3.45,1,1.69,NA,1.65,2.17
"303",1.82,0,0,3.33333333333333,1.39,1.36
"304",2.18,1,3.97,4,3,2.95
"305",0,NA,2.38,NA,0.64,1.26
"306",NA,2,4.89,NA,1.86,3.65
"307",1.45,NA,4.62,NA,1.64,3.21
"308",0,NA,1.9,NA,0.51,1.01
"309",0,0,0,NA,0,0
"310",1.64,2,5.08,2.66666666666667,3.07,3.02
"311",8,5,7.83,7.66666666666667,7.68,7.55
"312",7.27,NA,5.48,NA,3.44,6.75
"313",4,3,2.58,NA,2.58,3.38
"314",2.18,0,3.9,NA,1.64,2.15
"315",2.91,2,2.32,4.66666666666667,3.21,3.15
"316",0,NA,2.5,NA,0.67,1.32
"317",2.36,NA,4.89,4.66666666666667,3.21,4.21
"318",1.45,2,3.85,5.33333333333333,3.4,3.35
"319",2.91,0,6.17,6.66666666666667,4.24,4.17
"320",2.18,4,3.89,6.66666666666667,4.51,4.43
"321",4.18,0,3.22,5,3.34,3.28
"322",0,NA,0.95,NA,0.26,0.5
"323",0.91,0,5.48,NA,1.72,2.26
"324",2.91,8,7.15,9,7.29,7.17
"325",0,0,NA,NA,0,0
"326",0.73,NA,1.9,NA,0.71,1.39
"327",3.64,6,4.44,7.33333333333333,5.77,5.67
"328",0,0,0,NA,0,0
"329",5.82,4,2.88,NA,3.42,4.48
"330",2.91,6,2.09,5.33333333333333,4.4,4.33
"331",4,3,4.98,NA,3.23,4.23
"332",2.18,0,4.62,NA,1.83,2.4
"333",NA,0,3.17,3,1.66,2.18
"334",0,0,NA,NA,0,0
"335",2.18,0,0.71,NA,0.78,1.02
"336",4.36,5,5.31,5,5.3,5.21
"337",10,8,9.44,9.66666666666667,10,9.83
"338",1.27,4,4.41,NA,2.61,3.42
"339",4.36,NA,5.57,NA,2.68,5.26
"340",0,0,1.19,NA,0.32,0.42
"341",6,2,4.43,NA,3.35,4.39
"342",1.09,NA,NA,NA,0.29,1.15
"343",0,0,0,NA,0,0
"344",NA,8,0.68,NA,2.34,4.6
"345",3.09,2,3.12,NA,2.21,2.9
"346",2.55,0,2.39,NA,1.33,1.74
"347",0,0,NA,NA,0,0
"348",0,0,1.9,NA,0.51,0.67
"349",1.27,NA,6.54,NA,2.1,4.14
"350",0,0,4.28,NA,1.15,1.51
"351",3.09,1,1.9,NA,1.61,2.11
"352",0.73,0,5.24,NA,1.61,2.11
"353",0.91,NA,2.38,NA,0.89,1.74
"354",3.09,4,2.59,4.66666666666667,3.87,3.8
"355",8,7,6.8,10,8.57,8.42
"356",3.27,1,5.82,8,4.88,4.79
"357",2.73,NA,6.58,NA,2.51,4.93
"358",NA,3,4.88,NA,2.12,4.17
"359",3.09,5,6.72,8,6.15,6.04
"360",0.36,0,0,NA,0.1,0.13
"361",3.64,0,4.04,8,4.23,4.15
